                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.2554,                0.36469,                0.49664,                 5.3288,               0.004753,               0.004753,               0.004753
                     56,                 1.2076,                0.36535,                 0.4973,                 5.3286,               0.004654,               0.004654,               0.004654
                     57,                 1.2349,                0.36601,                0.49943,                 5.3274,               0.004555,               0.004555,               0.004555
                     58,                 1.1677,                0.36551,                0.49877,                 5.3278,               0.004456,               0.004456,               0.004456
                     59,                 1.1759,                0.36502,                0.49762,                 5.3264,               0.004357,               0.004357,               0.004357
                     60,                 1.1584,                0.36502,                0.49631,                 5.3274,               0.004258,               0.004258,               0.004258
                     61,                 1.1362,                0.36453,                0.49828,                 5.3263,               0.004159,               0.004159,               0.004159
                     62,                 1.1152,                0.36748,                0.49893,                 5.3252,                0.00406,                0.00406,                0.00406
                     63,                 1.0831,                0.36781,                0.49812,                 5.3223,               0.003961,               0.003961,               0.003961
                     64,                 1.0695,                 0.3683,                0.49893,                 5.3254,               0.003862,               0.003862,               0.003862
                     65,                 1.0508,                0.36928,                0.49959,                 5.3228,               0.003763,               0.003763,               0.003763
                     66,                 1.0071,                 0.3683,                0.50008,                 5.3227,               0.003664,               0.003664,               0.003664
                     67,                 1.0286,                0.36961,                0.50139,                 5.3222,               0.003565,               0.003565,               0.003565
                     68,                0.98282,                0.36879,                0.49975,                 5.3223,               0.003466,               0.003466,               0.003466
                     69,                0.97265,                0.36912,                0.50057,                 5.3231,               0.003367,               0.003367,               0.003367
                     70,                0.95572,                0.36912,                0.50025,                 5.3217,               0.003268,               0.003268,               0.003268
                     71,                0.93525,                0.36994,                 0.5009,                 5.3214,               0.003169,               0.003169,               0.003169
                     72,                0.91571,                0.37076,                0.50107,                 5.3199,                0.00307,                0.00307,                0.00307
                     73,                0.90661,                0.37092,                0.50221,                 5.3208,               0.002971,               0.002971,               0.002971
                     74,                0.89322,                0.37092,                0.50303,                 5.3204,               0.002872,               0.002872,               0.002872
                     75,                0.88372,                0.37223,                0.50369,                 5.3204,               0.002773,               0.002773,               0.002773
                     76,                0.87648,                0.37256,                0.50385,                 5.3194,               0.002674,               0.002674,               0.002674
                     77,                0.84364,                0.37109,                0.50254,                 5.3197,               0.002575,               0.002575,               0.002575
                     78,                0.81225,                0.37158,                 0.5027,                 5.3187,               0.002476,               0.002476,               0.002476
                     79,                0.79437,                 0.3724,                0.50303,                 5.3175,               0.002377,               0.002377,               0.002377
                     80,                0.78637,                 0.3724,                0.50336,                 5.3184,               0.002278,               0.002278,               0.002278
                     81,                0.78596,                0.37371,                0.50352,                 5.3188,               0.002179,               0.002179,               0.002179
                     82,                0.76282,                0.37355,                0.50385,                 5.3191,                0.00208,                0.00208,                0.00208
                     83,                 0.7516,                0.37338,                0.50385,                 5.3189,               0.001981,               0.001981,               0.001981
                     84,                 0.7001,                0.37387,                 0.5032,                 5.3193,               0.001882,               0.001882,               0.001882
                     85,                0.70071,                0.37371,                 0.5027,                 5.3184,               0.001783,               0.001783,               0.001783
                     86,                0.70009,                0.37338,                0.50303,                 5.3184,               0.001684,               0.001684,               0.001684
                     87,                0.67643,                0.37453,                 0.5027,                 5.3173,               0.001585,               0.001585,               0.001585
                     88,                0.68948,                0.37469,                0.50254,                 5.3176,               0.001486,               0.001486,               0.001486
                     89,                0.66741,                0.37486,                0.50352,                 5.3174,               0.001387,               0.001387,               0.001387
                     90,                0.66102,                0.37436,                0.50385,                 5.3173,               0.001288,               0.001288,               0.001288
                     91,                0.63585,                0.37453,                0.50402,                 5.3163,               0.001189,               0.001189,               0.001189
                     92,                0.62565,                0.37535,                0.50369,                 5.3177,                0.00109,                0.00109,                0.00109
                     93,                 0.5974,                0.37551,                0.50369,                 5.3175,               0.000991,               0.000991,               0.000991
                     94,                0.59501,                0.37502,                 0.5032,                 5.3168,               0.000892,               0.000892,               0.000892
                     95,                0.58744,                0.37518,                0.50369,                 5.3176,               0.000793,               0.000793,               0.000793
                     96,                0.58218,                0.37436,                0.50402,                 5.3168,               0.000694,               0.000694,               0.000694
                     97,                0.56507,                0.37436,                0.50385,                 5.3171,               0.000595,               0.000595,               0.000595
                     98,                0.58382,                0.37453,                0.50402,                  5.316,               0.000496,               0.000496,               0.000496
                     99,                0.55373,                0.37518,                0.50467,                 5.3169,               0.000397,               0.000397,               0.000397
                    100,                0.56076,                0.37486,                  0.505,                 5.3168,               0.000298,               0.000298,               0.000298
