                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1337,                0.35821,                      1,                 1.0254,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                 1.1477,                0.50746,                      1,                 1.0234,             0.00010604,             0.00010604,             0.00010604
                      3,                 1.0693,                0.55224,                      1,                0.96745,             0.00016097,             0.00016097,             0.00016097
                      4,                0.99498,                0.62687,                      1,                0.94727,             0.00021477,             0.00021477,             0.00021477
                      5,                0.90493,                0.64179,                      1,                0.96257,             0.00026743,             0.00026743,             0.00026743
                      6,                0.82351,                0.74627,                      1,                0.94027,             0.00031897,             0.00031897,             0.00031897
                      7,                0.74363,                0.76119,                      1,                0.97493,             0.00036937,             0.00036937,             0.00036937
                      8,                0.65102,                0.80597,                      1,                0.87207,             0.00041865,             0.00041865,             0.00041865
                      9,                0.62924,                0.77612,                      1,                0.89339,             0.00046679,             0.00046679,             0.00046679
                     10,                0.62311,                0.77612,                      1,                0.80859,              0.0005138,              0.0005138,              0.0005138
                     11,                0.52678,                0.76119,                      1,                0.88737,             0.00055968,             0.00055968,             0.00055968
                     12,                0.51683,                0.77612,                      1,                0.83301,             0.00060443,             0.00060443,             0.00060443
                     13,                0.53243,                0.77612,                      1,                 0.7819,             0.00062918,             0.00062918,             0.00062918
                     14,                0.42768,                0.74627,                      1,                0.86637,             0.00062918,             0.00062918,             0.00062918
                     15,                 0.4343,                0.74627,                      1,                0.74463,             0.00062211,             0.00062211,             0.00062211
                     16,                 0.3919,                0.74627,                      1,                0.80632,             0.00061504,             0.00061504,             0.00061504
                     17,                0.28001,                0.77612,                      1,                0.73763,             0.00060797,             0.00060797,             0.00060797
                     18,                0.31871,                0.80597,                      1,                0.75716,              0.0006009,              0.0006009,              0.0006009
                     19,                0.37231,                0.77612,                      1,                0.77653,             0.00059383,             0.00059383,             0.00059383
                     20,                0.26471,                0.76119,                      1,                0.73649,             0.00058677,             0.00058677,             0.00058677
                     21,                 0.2807,                0.79104,                      1,                 0.8584,              0.0005797,              0.0005797,              0.0005797
                     22,                0.28451,                0.77612,                      1,                0.73112,             0.00057263,             0.00057263,             0.00057263
                     23,                0.29127,                0.80597,                      1,                0.76074,             0.00056556,             0.00056556,             0.00056556
                     24,                0.23767,                0.83582,                      1,                0.80046,             0.00055849,             0.00055849,             0.00055849
                     25,                0.28971,                0.83582,                      1,                 0.7111,             0.00055142,             0.00055142,             0.00055142
                     26,                0.14385,                0.85075,                      1,                0.69368,             0.00054435,             0.00054435,             0.00054435
                     27,                0.19775,                0.85075,                      1,                0.76221,             0.00053728,             0.00053728,             0.00053728
                     28,                0.21692,                0.83582,                      1,                0.68424,             0.00053022,             0.00053022,             0.00053022
                     29,                0.21952,                0.83582,                      1,                0.69531,             0.00052315,             0.00052315,             0.00052315
                     30,                0.17956,                0.85075,                      1,                0.77327,             0.00051608,             0.00051608,             0.00051608
                     31,                 0.2098,                0.83582,                      1,                0.67904,             0.00050901,             0.00050901,             0.00050901
                     32,                0.16514,                0.85075,                      1,                 0.8208,             0.00050194,             0.00050194,             0.00050194
                     33,                0.14252,                 0.8209,                      1,                0.71338,             0.00049487,             0.00049487,             0.00049487
                     34,                0.10296,                0.85075,                      1,                0.77686,              0.0004878,              0.0004878,              0.0004878
                     35,                0.16699,                0.83582,                      1,                0.70052,             0.00048074,             0.00048074,             0.00048074
                     36,                0.14498,                0.85075,                      1,                0.76351,             0.00047367,             0.00047367,             0.00047367
                     37,                0.12264,                0.86567,                      1,                0.71208,              0.0004666,              0.0004666,              0.0004666
                     38,                0.16895,                0.83582,                      1,                0.77376,             0.00045953,             0.00045953,             0.00045953
                     39,                0.14035,                0.86567,                      1,                 0.6556,             0.00045246,             0.00045246,             0.00045246
                     40,                0.16298,                0.85075,                      1,                0.66178,             0.00044539,             0.00044539,             0.00044539
                     41,                 0.1759,                0.85075,                      1,                0.73503,             0.00043832,             0.00043832,             0.00043832
                     42,                0.14142,                0.85075,                      1,                  0.729,             0.00043126,             0.00043126,             0.00043126
                     43,                0.12069,                0.86567,                      1,                0.68197,             0.00042419,             0.00042419,             0.00042419
                     44,                 0.1335,                0.86567,                      1,                0.67041,             0.00041712,             0.00041712,             0.00041712
                     45,                0.12751,                 0.8806,                      1,                0.66097,             0.00041005,             0.00041005,             0.00041005
                     46,                0.17592,                 0.8806,                      1,                0.74821,             0.00040298,             0.00040298,             0.00040298
                     47,                0.16937,                0.85075,                      1,                0.71224,             0.00039591,             0.00039591,             0.00039591
                     48,                0.12566,                0.85075,                      1,                0.66585,             0.00038884,             0.00038884,             0.00038884
                     49,                0.20363,                0.85075,                      1,                0.66178,             0.00038178,             0.00038178,             0.00038178
                     50,                0.09056,                0.85075,                      1,                0.72331,             0.00037471,             0.00037471,             0.00037471
                     51,                0.11027,                0.85075,                      1,                0.67936,             0.00036764,             0.00036764,             0.00036764
                     52,                0.16544,                0.86567,                      1,                0.75309,             0.00036057,             0.00036057,             0.00036057
                     53,                0.18583,                0.86567,                      1,                0.77539,              0.0003535,              0.0003535,              0.0003535
                     54,                0.09833,                0.85075,                      1,                0.65511,             0.00034643,             0.00034643,             0.00034643
                     55,                0.06464,                0.86567,                      1,                0.75195,             0.00033936,             0.00033936,             0.00033936
                     56,                0.14665,                0.85075,                      1,                0.65869,              0.0003323,              0.0003323,              0.0003323
                     57,                0.11934,                0.83582,                      1,                0.75586,             0.00032523,             0.00032523,             0.00032523
                     58,                0.08972,                0.85075,                      1,                0.73649,             0.00031816,             0.00031816,             0.00031816
                     59,                0.08571,                0.86567,                      1,                0.72201,             0.00031109,             0.00031109,             0.00031109
                     60,                0.06771,                0.86567,                      1,                0.78092,             0.00030402,             0.00030402,             0.00030402
                     61,                0.12433,                0.85075,                      1,                0.78255,             0.00029695,             0.00029695,             0.00029695
                     62,                0.08995,                0.86567,                      1,                0.69694,             0.00028988,             0.00028988,             0.00028988
                     63,                0.09333,                 0.8806,                      1,                 0.6582,             0.00028282,             0.00028282,             0.00028282
                     64,                0.08636,                 0.8806,                      1,                0.74023,             0.00027575,             0.00027575,             0.00027575
                     65,                0.21374,                0.86567,                      1,                0.65267,             0.00026868,             0.00026868,             0.00026868
                     66,                0.05616,                 0.8806,                      1,                0.65479,             0.00026161,             0.00026161,             0.00026161
